V_ce,CaseTemp,CycleCount
1.6572974553846156,92.0993176470574,1
1.6574729453076924,92.09628235293957,2
1.6576484352307694,92.09324705882173,3
1.6578239251538462,92.09021176470388,4
1.6579994150769233,92.08717647058604,5
1.658174905,92.08414117646821,6
1.658350394923077,92.08110588235036,7
1.658525884846154,92.07807058823252,8
1.6587013747692307,92.07503529411468,9
1.6588768646923078,92.07199999999683,10
1.6590523546153846,92.068964705879,11
1.6592278445384616,92.06592941176116,12
1.6594033344615384,92.06289411764331,13
1.6595788243846155,92.05985882352547,14
1.6597543143076923,92.05682352940764,15
1.6599298042307693,92.05378823528979,16
1.6601052941538461,92.05075294117195,17
1.6602807840769231,92.04771764705411,18
1.660456274,92.04468235293626,19
1.6590304185,92.04164705881843,20
1.657604563,92.03861176470059,21
1.6561787075,92.03557647058274,22
1.654752852,92.0325411764649,23
1.6533269965,92.02950588234707,24
1.651901141,92.02647058822922,25
1.6504752855,92.02343529411138,26
1.64904943,92.02039999999354,27
1.6501901144,92.01736470587569,28
1.6513307988,92.01432941175786,29
1.6524714832,92.01129411764002,30
1.6536121676,92.00825882352217,31
1.654752852,92.00522352940433,32
1.6558935364,92.0021882352865,33
1.6570342208,92.02592000023925,34
1.6581749051999999,92.1188000002452,35
1.6593155896,92.21168000025115,36
1.660456274,92.3045600002571,37
1.66273764275,92.39744000026303,38
1.6650190115,92.49032000026898,39
1.66730038025,92.58320000027493,40
1.669581749,92.67608000028088,41
1.67186311775,92.76896000028682,42
1.6741444865,92.86184000029276,43
1.67642585525,92.91013333338516,44
1.678707224,92.92733333338035,45
1.678707224,92.94453333337553,46
1.678707224,92.96173333337072,47
1.678707224,92.9789333333659,48
1.678707224,92.99613333336109,49
1.678707224,93.01333333335627,50
1.678707224,93.03053333335144,51
1.678707224,93.04773333334663,52
1.678707224,93.06493333334181,53
1.678707224,93.082133333337,54
1.678707224,93.09933333333218,55
1.678707224,93.09416470588386,56
1.678707224,93.08809411764965,57
1.678707224,93.08202352941545,58
